tic,equity,shares,ebit,net_income,sale,price
BLMN,170.342,86.946,191.09,130.573,4139.389,22.07
PANW,1586.3,96.8,-17.3,-81.9,2899.6,231.25
FIVE,759.778,55.712,217.284,175.056,1846.73,127.86
RLGY,2092,114.356,378,-188,5598,9.68
PGTI,431.548,58.505,89.267,43.688,744.956,14.91
CVLT,411.904,46.011,16.136,-5.645,670.885,44.64
PTCT,594.33,61.936,-192.798,-251.576,306.98,48.03
QRTEA,4840,415.969,1351,-456,13458,8.43
SEM,770.972,134.328,471.881,148.449,5453.922,23.34
KBR,1843,141.819,312,202,5639,30.5
EHTH,527.164,23.136,105.488,66.887,506.201,96.08
LMAT,148.141,20.157,21.195,17.934,117.232,35.95
INFU,22.334,19.882,4.278,1.361,81.115,8.53
ESXB,155.479,22.423,20.991,15.705,70.803,8.88
ICFI,714.551,18.868,103.121,68.938,1478.525,91.62
GTS,943.865,23.8,139.924,92.894,3375.586,18.49
TNL,-530,88.103,931,507,4043,51.69
EVR,869.716,39.176,469.004,297.436,2028.837,74.76
ORBC,235.804,78.062,4.297,-18.423,272.013,4.21
ALGT,883.551,16.303,363.95,232.117,1840.965,174.04
FOLD,476.425,255.418,-300.74,-356.388,182.237,9.74
WU,-39.5,418,1065.5,1058.3,5292.1,26.78
CELH,63.459,68.941,-0.869,9.971,75.147,4.83
DEI,2712.072,175.37,261.284,363.713,955.258,43.9
HBI,1236.595,362.449,953.216,600.72,6966.923,14.85
FSLR,5096.767,105.449,201.215,-114.933,3063.117,55.96
GORO,158.058,65.692,14.629,5.832,135.366,5.54
FRST,377.241,24.182,55.02,33.167,133.11,16.35
WLDN,167.278,11.497,10.047,4.841,443.099,31.78
PRIM,628.502,48.665,140.875,82.327,3106.329,22.24
AWI,364.9,47.992,238.2,214.5,1038.1,93.97
SBH,-60.323,116.725,457.791,271.623,3876.411,18.25
IPGP,2401.726,53.011,290.87,180.234,1314.581,144.92
CPRX,87.63,103.397,31.823,31.875,102.306,3.75
ATHX,23.271,159.792,-45.488,-44.582,5.633,1.23
EBS,1088.5,51.7,169.6,54.5,1106,53.95
CTT,192.641,49.008,-83.793,-93.321,17.442,11.47
AIMC,1922.3,64.223,238.9,127.2,1834.1,36.21
TAST,309.462,51.049,-10.654,-31.919,1462.765,7.05
III,89.674,47.478,14.729,3.341,265.763,2.53
CLNE,533.408,204.723,8.889,20.421,344.065,2.34
AVAV,509.901,24.064,46.662,41.074,367.296,61.74
NCMI,-379.5,77.569,161.7,36.1,444.8,7.29
SMCI,941.015,49.956,154.15,71.918,3500.36,24.02
EIG,1165.8,31.355,194.4,157.1,835.9,41.75
PRTS,12.377,36.167,-5.976,-31.548,280.657,2.2
ESGR,4331.794,21.512,921.408,938.089,2573.111,206.86
ARAY,49.871,88.522,4.281,-16.43,418.785,2.82
IBKR,1452,76.75,1800,161,2580,46.62
ESSA,189.508,11.321,23.48,12.623,75.916,16.95
UFS,2376,56.881,266,84,5220,38.24
TFSL,1696.754,279.963,142.512,80.237,502.551,19.68
CARE,473.111,26.334,55.626,26.575,175.802,23.72
BR,1127.5,114.3,652.7,482.1,4362.2,123.54
GLRE,477.183,36.994,-43.996,-3.986,491.397,10.11
FRBA,226.393,20.459,31.009,13.445,88.165,11.05
CNK,1435.814,117.152,407.396,191.386,3283.099,33.85
CAI,589.375,17.479,130.282,31.011,416.54,28.98
