PERMNO,date,TICKER,RET
90533,20200430,WTI,0.629412
90533,20200529,WTI,-0.057762
90533,20200630,WTI,-0.126437
90533,20200731,WTI,-0.008772
90533,20200831,WTI,-0.013274
90533,20200930,WTI,-0.192825
90533,20201030,WTI,-0.222222
90533,20201130,WTI,0.400000
90533,20201231,WTI,0.107143
90534,20200131,CZNC,-0.085310
90534,20200228,CZNC,-0.112632
90534,20200331,CZNC,-0.118554
90534,20200430,CZNC,-0.092500
90534,20200529,CZNC,0.072707
90534,20200630,CZNC,0.076642
90534,20200731,CZNC,-0.129782
90534,20200831,CZNC,-0.031638
90534,20200930,CZNC,-0.052509
90534,20201030,CZNC,0.059729
90534,20201130,CZNC,0.071429
90534,20201231,CZNC,0.093113
90544,20200131,SMMF,-0.093762
90544,20200228,SMMF,-0.107128
90544,20200331,SMMF,-0.024635
90544,20200430,SMMF,-0.167374
90544,20200529,SMMF,-0.048698
90544,20200630,SMMF,-0.008929
90544,20200731,SMMF,-0.087379
90544,20200831,SMMF,-0.019282
90544,20200930,SMMF,0.015593
90544,20201030,SMMF,0.216070
90544,20201130,SMMF,0.162687
90544,20201231,SMMF,0.062560
90550,20200131,DLB,0.007849
90550,20200228,DLB,-0.049322
90550,20200331,DLB,-0.174886
90550,20200430,DLB,0.107360
90550,20200529,DLB,0.015326
90550,20200630,DLB,0.084637
90550,20200731,DLB,0.056627
90550,20200831,DLB,0.006753
90550,20200930,DLB,-0.051110
90550,20201030,DLB,0.132770
90550,20201130,DLB,0.181007
90550,20201231,DLB,0.098135
90558,20200131,HUN,-0.149007
90558,20200228,HUN,-0.078794
90558,20200331,HUN,-0.229541
90558,20200430,HUN,0.164934
90558,20200529,HUN,0.079714
90558,20200630,HUN,-0.000964
90558,20200731,HUN,0.029494
90558,20200831,HUN,0.168649
90558,20200930,HUN,0.034806
90558,20201030,HUN,0.093652
90558,20201130,HUN,0.019761
90558,20201231,HUN,0.021498
90562,20200131,TAP,-0.064069
90562,20200228,TAP,-0.052343
90562,20200331,TAP,-0.233106
90562,20200430,TAP,0.448472
90562,20200529,TAP,-0.113490
90562,20200630,TAP,0.005149
90562,20200731,TAP,-0.000177
90562,20200831,TAP,-0.074735
90562,20200930,TAP,-0.091846
90562,20201030,TAP,0.019344
90562,20201130,TAP,0.113861
90562,20201231,TAP,0.161111
90564,20200131,PBH,0.001482
90564,20200228,PBH,-0.078895
90564,20200331,PBH,-0.018201
90564,20200430,PBH,0.109324
90564,20200529,PBH,0.037110
90564,20200630,PBH,-0.109953
90564,20200731,PBH,-0.009851
90564,20200831,PBH,-0.020436
90564,20200930,PBH,-0.000275
90564,20201030,PBH,-0.093081
90564,20201130,PBH,0.076900
90564,20201231,PBH,-0.019680
90569,20200131,WEX,0.035615
90569,20200228,WEX,-0.136825
90569,20200331,WEX,-0.441626
90569,20200430,WEX,0.265615
90569,20200529,WEX,0.119105
90569,20200630,WEX,0.114330
90569,20200731,WEX,-0.040240
90569,20200831,WEX,0.008461
90569,20200930,WEX,-0.129860
90569,20201030,WEX,-0.089372
90569,20201130,WEX,0.368945
90569,20201231,WEX,0.174844
90590,20200131,EBTC,-0.084145
90590,20200228,EBTC,-0.108801
90590,20200331,EBTC,-0.017474
90590,20200430,EBTC,-0.105224
90590,20200529,EBTC,-0.038716
90590,20200630,EBTC,0.033854
90590,20200731,EBTC,-0.097397
90590,20200831,EBTC,0.018837
90590,20200930,EBTC,-0.032674
90590,20201030,EBTC,0.075642
90590,20201130,EBTC,0.152366
90590,20201231,EBTC,-0.012751
90591,20200131,EFSC,-0.097490
90591,20200228,EFSC,-0.120432
90591,20200331,EFSC,-0.266005
90591,20200430,EFSC,0.101397
90591,20200529,EFSC,-0.044567
90591,20200630,EFSC,0.065713
90591,20200731,EFSC,-0.066195
90591,20200831,EFSC,0.029250
90591,20200930,EFSC,-0.082247
90591,20201030,EFSC,0.067473
90591,20201130,EFSC,0.168327
90591,20201231,EFSC,0.032932
90600,20200131,KRNY,-0.107014
90600,20200228,KRNY,-0.116599
90600,20200331,KRNY,-0.205316
90600,20200430,KRNY,0.082654
90600,20200529,KRNY,-0.078495
90600,20200630,KRNY,-0.036173
90600,20200731,KRNY,-0.017115
90600,20200831,KRNY,-0.034826
90600,20200930,KRNY,-0.060567
90600,20201030,KRNY,0.165048
90600,20201130,KRNY,0.177381
90600,20201231,KRNY,0.075834
90601,20200131,NDAQ,0.087395
90601,20200228,NDAQ,-0.119440
90601,20200331,NDAQ,-0.069527
90601,20200430,NDAQ,0.155029
