gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,ceq,csho,ebit,ni,sale,costat,prcc_c
012266,20191231,2019,INDL,C,D,STD,WERN,USD,1111.0080,69.2450,207.8290,166.9440,2463.7010,A,36.3900
012379,20200430,2019,INDL,C,D,STD,AMWD,USD,700.5380,16.9270,132.4830,74.8610,1650.3330,A,104.5100
012389,20191231,2019,INDL,C,D,STD,HOG,USD,1803.9990,152.4680,808.7340,423.6350,5361.7890,A,37.1900
012392,20191231,2019,INDL,C,D,STD,SKYW,USD,2175.0140,50.3230,534.1270,340.0990,2971.9630,A,64.6300
012395,20191031,2019,INDL,C,D,STD,TOL,USD,5071.8160,140.9380,763.3330,590.0070,7439.3220,A,39.5100
012428,20191231,2019,INDL,C,D,STD,POR,USD,2591.0000,89.3870,353.0000,214.0000,2123.0000,A,55.7900
012433,20190930,2019,INDL,C,D,STD,VIVO,USD,190.9670,42.7120,38.9310,24.3820,201.0140,A,9.7700
012441,20191231,2019,INDL,C,D,STD,IT,USD,938.5930,89.1580,379.5500,233.2900,4245.3210,A,154.1000
012445,20191231,2019,INDL,C,D,STD,WTS,USD,978.0000,33.8660,205.4000,131.5000,1600.5000,A,99.7600
012459,20191231,2019,INDL,C,D,STD,NVR,USD,2341.2440,3.6330,1051.1750,878.5390,7428.4420,A,3808.4100
012471,20191231,2019,INDL,C,D,STD,INT,USD,1890.4000,65.2000,319.4000,178.9000,36819.0000,A,43.4200
012482,20190930,2019,INDL,C,D,STD,CLFD,USD,74.9330,13.6420,5.1890,4.5660,85.0340,A,13.9400
012485,20191231,2019,INDL,C,D,STD,ATUS,USD,2269.9640,632.9950,1896.7890,138.9360,9760.8590,A,27.3400
012540,20191130,2019,INDL,C,D,STD,ADBE,USD,10530.1550,482.3390,3268.1210,2951.4580,11171.2970,A,329.8100
012544,20191231,2019,INDL,C,D,STD,JOE,USD,519.5210,59.4150,31.3230,26.7750,127.0850,A,19.8300
012568,20190930,2019,INDL,C,D,STD,DJCO,USD,137.7000,1.3810,-4.8240,-25.2160,48.6550,A,290.4200
012589,20191231,2019,INDL,C,D,STD,EHC,USD,1352.2000,98.5930,695.9000,358.7000,4605.0000,A,69.2700
012603,20191231,2019,INDL,C,D,STD,CNO,USD,4677.0000,148.0840,450.0000,409.4000,4015.8000,A,18.1300
012615,20191231,2019,INDL,C,D,STD,MHO,USD,1003.4770,28.3860,187.7280,127.5870,2500.2900,A,39.3500
012625,20191231,2019,INDL,C,D,STD,MRTN,USD,597.5890,54.7030,67.8180,61.0710,843.2710,A,21.4900
012635,20191231,2019,INDL,C,D,STD,FISV,USD,32979.0000,679.9000,1671.0000,893.0000,10187.0000,A,115.6300
012689,20191130,2019,INDL,C,D,STD,KBH,USD,2383.1220,89.6070,342.1360,268.7750,4552.7470,A,34.2700
012711,20190930,2019,INDL,C,D,STD,CVM,USD,5.1340,35.2320,-20.1950,-22.1350,0.4630,A,9.1500
012713,20191231,2019,INDL,C,D,STD,ABEO,USD,178.4300,83.6220,-77.0900,-76.2820,0.0000,A,3.2700
012719,20191231,2019,INDL,C,D,STD,APYX,USD,71.2590,34.1700,-20.8690,-19.7060,28.2350,A,8.4600
012726,20191231,2019,INDL,C,D,STD,UNM,USD,9965.0000,202.9370,1587.5000,1100.3000,11999.6000,A,29.1600
012785,20191231,2019,INDL,C,D,STD,PPC,USD,2525.6630,249.5720,690.4840,455.9240,11409.2190,A,32.7150
012796,20191231,2019,INDL,C,D,STD,CLGX,USD,951.2100,78.9720,219.1480,49.3800,1762.2350,A,43.7100
012825,20190930,2019,INDL,C,D,STD,JJSF,USD,833.7510,18.8950,116.9560,94.8190,1186.4870,A,184.2700
012840,20191231,2019,INDL,C,D,STD,HTLD,USD,684.6590,82.0280,63.4340,72.9670,596.8150,A,21.0500
012850,20191231,2019,INDL,C,D,STD,CERN,USD,4317.3280,310.9110,858.0190,529.4540,5692.5980,A,73.3900
012874,20191231,2019,INDL,C,D,STD,ICAD,USD,5.0710,19.3600,-6.3970,-13.5510,31.3400,A,7.7700
012909,20191231,2019,INDL,C,D,STD,MKL,USD,11070.8670,13.7940,2472.9780,1790.4660,9521.8230,A,1143.1700
012915,20191231,2019,INDL,C,D,STD,OSUR,USD,307.1450,61.7310,9.6350,16.6560,154.6050,A,8.0300
012926,20191231,2019,INDL,C,D,STD,FRPH,USD,374.8880,9.8170,5.7560,16.1770,23.7560,A,49.8100
012945,20190930,2019,INDL,C,D,STD,PLXS,USD,865.5760,29.0040,143.7330,108.6160,3164.4340,A,76.9400
012964,20191231,2019,INDL,C,D,STD,CDZI,USD,-82.1180,28.4810,-11.9890,-29.5280,0.4410,A,11.0200
012972,20190930,2019,INDL,C,D,STD,IMKTA,USD,662.7230,20.2600,148.1410,81.5800,4202.0340,A,47.5100
013041,20191231,2019,INDL,C,D,STD,SNV,USD,4404.5450,147.1580,1132.0410,563.7800,2406.5380,A,39.2000
013071,20191231,2019,INDL,C,D,STD,RDNT,USD,151.6850,50.3140,73.8800,14.7560,1154.1790,A,20.3000
013092,20190930,2019,INDL,C,D,STD,JACK,USD,-737.5840,24.3980,219.9120,94.4370,950.1070,A,78.0300
013125,20191231,2019,INDL,C,D,STD,PEAK,USD,6085.0580,505.2220,121.7530,45.5300,1988.7580,A,34.4700
013142,20191231,2019,INDL,C,D,STD,CMO,USD,822.7870,94.6060,310.4280,-35.3380,323.1190,A,7.9200
013200,20191031,2019,INDL,C,D,STD,PLAB,USD,769.8920,65.5950,52.1210,29.7930,550.6600,A,15.7600
013323,20191031,2019,INDL,C,D,STD,SAFM,USD,1417.6750,22.2040,61.1940,53.2940,3440.2580,A,176.2200
013341,20191231,2019,INDL,C,D,STD,PGR,USD,13179.3000,584.6000,5350.0000,3970.3000,38997.7000,A,72.3900
013342,20191231,2019,INDL,C,D,STD,RLI,USD,995.3880,44.8690,219.3620,191.6420,1003.5910,A,90.0200
013354,20200229,2019,INDL,C,D,STD,VOXX,USD,376.1790,23.8180,-19.2250,-26.4430,394.8890,A,4.3800
013421,20191231,2019,INDL,C,D,STD,CDNS,USD,2102.8940,279.8550,509.3990,988.9790,2336.3190,A,69.3600
013431,20191231,2019,INDL,C,D,STD,BRY,USD,972.4480,79.5430,56.1750,43.5390,559.4050,A,9.4300
013453,20191231,2019,INDL,C,D,STD,OPY,USD,592.7220,12.7980,120.5990,52.9530,1033.3790,A,27.4800
013480,20191231,2019,INDL,C,D,STD,EBIX,USD,550.1140,30.4920,151.2300,96.7200,580.6150,A,33.4100
013498,20191130,2019,INDL,C,D,STD,CCL,USD,25365.0000,684.0000,3285.0000,2990.0000,20825.0000,A,50.8300
013510,20191231,2019,INDL,C,D,STD,DRE,USD,5018.1150,367.9500,292.6040,428.9720,1015.1060,A,34.6700
013561,20191231,2019,INDL,C,D,STD,MBI,USD,826.0000,79.4330,-131.0000,-359.0000,223.0000,A,9.3000
013562,20191231,2019,INDL,C,D,STD,BDN,USD,1677.8770,175.3750,104.8060,34.2670,572.8130,A,15.7500
