tic,current_assets,total_assets,current_liabilities,total_liabilities,total_equity,mkt_value,price_close,shares_out,book_value_share,ppe,employees,cash,receivables,sales,cogs,inventory,ebit,ebitda,interest_exp,working_cap,net_income
CUZ,,7151.447,,2723.612,4427.835,,41.2,146.762,29.6913,,0.331,15.603,125.994,670.181,484.408,0,148.766,,65.182,,150.418
CBRL,242.38,1581.225,392.474,976.515,604.71,4177.5518,153.74,24.049,25.1449,1168.965,73,36.884,32.206,3071.951,2528.987,154.958,282.844,390.138,16.322,-150.094,223.401
CR,1499.9,4423.7,916.7,2947.4,1476.3,5096.5928,86.38,59.002,24.9771,728.9,13,393.9,625,3283.1,1992.5,457.3,493.8,605.4,46.8,583.2,133.3
OMF,,22817,,18487,4330,5736.6572,42.15,136.101,31.8146,163,9.7,1227,16767,4784,2396,64,2117,2388,970,,855
CCK,4002,15505,3899,13413,2092,9834.8281,72.54,135.578,12.6348,4091,33,607,1558,11665,9349,1626,1195,1685,378,103,510
CFR,,34027.428,,30115.76,3911.668,6127.7748,97.78,62.669,60.0244,1011.947,4.659,581.857,14618.165,1490.987,163.539,1.084,630.637,684.728,,,443.599
CMI,9387,19737,6260,11272,8465,26933.48,178.96,150.5,49.8804,4741,61.615,1129,3861,23571,16942,3486,2505,3174,123,3127,2260
CW,1529.791,3764.261,744.731,1989.889,1774.372,6013.1852,140.89,42.68,41.5739,551.083,9.1,391.033,632.194,2487.961,1486.804,424.835,403.953,506.365,31.347,785.06,307.583
WEN,554.047,4994.529,349.698,4478.17,516.359,4994.7847,22.21,224.889,2.2961,2034.343,13.3,300.195,117.461,1709.002,597.53,3.891,265.297,396.99,115.971,204.349,136.94
DAN,3162,7220,1845,5085,1968,2619.7626,18.2,143.943,13.0121,2443,36.3,508,1305,8620,7149,1193,624,963,122,1317,226
DHR,25596.6,62081.6,4932.1,31799.7,30281.9,106745.34,153.48,695.5,41.1511,3065.7,60,19912.3,3464.4,17911.1,6737.9,1628.3,3362.4,4551.9,108.6,20664.5,3008.2
TGT,12902,42779,14487,30946,11833,55834.9973,128.21,504.199,23.4689,28519,368,2577,962,78112,54617,8992,4641,7245,467,-1585,3281
DE,,73011,,61580,11417,54530.1996,173.26,313.14,36.447,13540,73.489,3857,40295,39258,26413,5975,5492,7511,1473,,3253
DAL,8249,64532,20204,49174,15358,37589.2481,58.48,642.771,23.8934,36937,91.224,2882,2854,47007,34044,1251,6618,9199,301,-11955,4767
DLX,472.211,1943.311,407.947,1372.45,570.861,2102.9299,49.92,42.126,13.5513,140.839,6.352,73.62,199.722,2008.715,683.337,39.921,317.467,443.503,34.682,64.264,-199.897
DTE,3086,41882,3997,30046,11836,24962.1828,129.87,192.209,60.7256,25486,10.7,93,1887,12669,9681,759,1725,2988,656,-911,1169
ATGE,504.7,2242.696,311.631,841.623,1391.53,2491.4002,34.97,55.303,25.1619,364.683,9.056,299.445,157.829,1239.687,580.511,0,215.736,267.477,23.631,193.069,95.168
DBD,1892,3790.6,1599.6,4276,-506.3,811.1453,10.56,76.813,-6.9038,401.4,22,280.9,619.3,4408.7,3114.9,466.5,140.2,344.5,202.9,292.4,-341.3
DDS,1848.082,3430.257,930.82,1806.998,1623.259,1469.2418,73.48,24.197,67.0851,1506.1,38,277.077,48.339,6343.211,4235.978,1465.007,167.492,389.841,47.886,917.262,111.081
DIOD,809.959,1639.384,285.322,486.601,1152.783,2886.5386,56.37,51.207,21.6069,527.001,7.271,258.39,260.322,1249.13,690.802,236.472,180.169,290.731,7.893,524.637,153.25
DIS,28124,193984,31341,91132,93889,234836.64,144.63,1802,49.3213,31603,223,5418,15481,69570,42018,6246,12009,16169,1368,-3217,11054
DG,5177.868,22825.084,4543.56,16122.584,6702.5,38649.5018,155.98,251.936,26.604,12074.542,143,240.32,76.537,27753.973,18760.108,4676.848,2333.304,2838.108,103.274,634.308,1712.555
D,6088,103823,9939,69790,34033,69403.16,82.82,838,35.3305,69581,19.1,166,2645,16572,8324,1742,5593,8248,1862,-3851,1358
DCI,1122.6,2142.6,482.9,1239.9,892.7,6359.5341,57.62,127.318,6.9692,588.9,14.1,177.8,541.9,2851.4,1823.1,332.8,394.7,468.2,19.9,639.7,267.2
DOV,2548.43,8669.477,1749.891,5636.817,3032.66,16632.2485,115.26,144.302,21.0161,997.337,24,397.253,1232.084,7136.397,4234.262,806.141,1048.662,1320.949,125.818,798.539,677.918
DD,9999,69396,8346,27840,41556,47415.873,64.2,738.565,55.4955,10699,35,1540,3837,21512,13040,4319,2788,4854,668,1653,498
OMC,14584.7,26783.4,15980.9,23202.4,3373.7,17589.442,81.02,217.1,13.1456,2061.7,70,4305.7,7829,14953.7,12194,1257.6,2122.3,2353.8,238,-1396.2,1339.1
DCO,340.768,790.429,144.69,497.629,292.8,584.7837,50.53,11.573,25.3003,134.321,2.8,39.584,173.803,721.088,543.48,121.884,59.244,84.144,18.29,196.078,32.461
DUK,9163,158838,14752,110887,47951,66856.93,91.21,733,61.2005,103785,28.793,311,3060,25079,14786,3232,5745,10293,2363,-5589,3748
DNB,417.9,9112.8,1089.8,6503.3,2609.5,,144.95,314.495,4.718,117.3,4.037,98.6,280.3,1413.9,448.5,0,-9,473.4,303.5,-671.9,-560
FLS,2505.37,4919.642,1112.888,3103.683,1815.959,6496.5279,49.77,130.531,13.716,758.393,17,670.98,1068.452,3944.85,2527.855,660.837,431.529,535.917,54.98,1392.482,253.668
DY,1258.293,2217.631,323.025,1349.027,868.604,1276.6253,47.15,31.584,27.5014,446.206,15.23,54.56,1073.637,3339.682,2771.53,98.324,115.661,303.217,50.859,935.268,57.215
PKI,1374.379,6538.564,762.832,3724.74,2813.824,10791.694,97.1,111.14,25.3178,485.499,13,191.877,725.184,2883.673,1354.994,356.937,428.609,642.634,63.627,611.547,227.558
EML,114.915,280.663,31.931,175.226,105.437,190.5377,30.53,6.241,16.8942,54.365,1.399,17.997,37.941,251.743,183.441,54.599,21.293,27.742,1.858,82.984,13.266
EGP,,2546.078,,1343.749,1202.329,5164.3124,132.67,38.926,30.8422,,0.077,0.224,47.629,331.516,198.409,0,116.701,,42.916,,121.662
ETN,8728,32805,5132,16672,16133,39147.776,94.72,413.3,38.9112,3932,101,370,3538,21390,13519,2805,2889,3708,236,3596,2211
ECL,4828.4,20869.1,3630.6,12143.3,8725.8,55660.2459,192.99,288.41,30.1144,4532.4,50.2,186.4,2930.2,14906.3,7711.6,1505.6,2263.9,3237.2,215.1,1197.8,1558.9
EMR,7139,20497,5976,12224,8273,40851.46,76.26,611,13.4746,3642,88,1494,3441,18372,9973,1880,3120,3942,201,1163,2306
ATO,458.031,13367.619,1209.44,7617.396,5750.223,13591.5187,111.86,119.339,48.1839,11787.669,4.776,24.55,230.571,2901.848,1764.334,136.054,746.058,1137.514,110.796,-751.409,511.406
EBF,149.884,365.699,37.969,71.37,294.329,520.9317,21.65,25.917,11.3566,76.47,2.505,68.258,43.086,438.412,291.294,34.835,50.78,68.974,0.606,111.915,38.292
ENZ,81.453,106.64,16.009,20.612,86.028,185.9479,2.63,47.557,1.8089,14.254,0.5,60.146,10.738,81.17,54.886,7.842,-27.192,-24.156,0.064,65.444,2.489
EFX,1209.4,7909,1359.1,5286.1,2622.9,16982.544,140.12,121.2,21.2756,947.6,11.2,401.3,680.1,3527.6,1521.7,0,503.3,834.4,111.7,-149.7,-398.8
EQT,1754.855,18809.227,1345.902,9005.639,9803.588,2781.3639,10.9,255.171,38.4197,16207.69,0.647,4.596,610.088,4416.484,2640.795,,201.028,1775.689,223.851,408.953,-1221.695
ESCA,86.915,148.779,18.21,22.609,126.17,139.7335,9.83,14.215,8.8758,16.191,0.468,5.882,35.45,180.541,135.619,42.269,9.275,13.306,0.356,68.705,7.258
NEU,879.398,1885.132,308.895,1202.034,683.098,5443.6723,486.52,11.189,61.0509,708.784,2.118,144.397,335.826,2190.295,1492.22,365.938,337.321,405.527,29.241,570.503,254.286
EXPD,2769.923,3691.884,1168.318,1494.665,2197.219,13233.9084,78.02,169.622,12.9407,889.379,18.297,1230.491,1446.874,8175.426,7127.455,0,766.692,817.642,0,1601.605,590.395
