ticker,current_assets,total_assets,ebit,current_liabilities,total_liabilities,retained_earnings,total_sales,credit_rating,book_value_per_share,shares_issued,shares_outstanding,inventory,acct_receivable,total_equity,working_cap,mkt_value,cogs,net_income,interest_exp
VAL,987.2,4334.4,1017.2,384.9,1118.4,1989,1813.5,11,21.1858,178.7,151.8,35.4,338.8,3216,602.3,7599.108,576.7,769.7,35.4
BA,22983,51794,4018,29701,47055,10236,61530,7,6.2533,1012.261,757.836,8105,5655,4739,-6718,67326.1502,48926,2215,657
REXMY,2060.447,8271.168,746.226,1962.517,5824.877,227.198,7321.247,11,20.9757,116.666,116.625,693.344,963.631,,97.93,,6242.059,436.768,199.777
BMY,10302,25575,2680,6496,15584,18200,17914,7,5.0793,2205,1967,2079,3247,9991,3806,51771.44,4970,1585,516
BP,75339,217601,27659,75352,132136,92483,265906,4,26.2763,3576.217,3251.75,18915,39377,85465,-13,,213627,22315,1196
BC,2078.4,4450.3,358.3,1293.2,2578.5,1731.7,5665,10,20.5993,102.538,90.867,861.9,492.3,1871.8,785.2,2898.6573,4264.4,133.9,60.5
CBT,1255,2534,169,505,1270,1150,2542,10,18.5708,63.579,63.433,420,534,,750,2359.7076,1958,88,30
CPB,2112,7870,1143,2962,6102,6543,7343,8,4.398,542,402,728,494,1768,-850,14745.36,4009,766,191
STZ,3023.3,9438.2,842.6,1591.1,6020.7,2268.4,5216.4,15,14.5507,247.921,234.869,1948.1,881,3417.5,1432.2,5509.7885,3517.5,331.9,268.7
CAJ,23381.084,37999.286,5941.454,9775.689,11079.899,20288.781,34930.748,5,18.8469,1333.445,1331.651,4529.891,7014.645,,13605.395,,15411.639,3826.261,18.403
CRS,999.3,1887.9,310.7,271.4,941.6,540.4,1568.2,12,36.3839,26.505,25.514,224.3,234.7,946.3,727.9,2946.867,1085.3,211.8,23.6
CAT,23093,50879,6032,19252,44020,11746,41517,8,10.6208,814.895,645.808,6351,14972,6859,3841,39607.4046,27947,3537,1297
CHTT,161.966,415.313,62.956,27.577,279.732,105.129,300.548,15,7.2624,18.669,18.669,31.389,29.852,,134.389,908.2469,89.923,45.112,11.725
CVX,36304,132628,27571,28409,63484,65828,195341,5,31.8471,2442.677,2164.558,4656,17628,68935,7895,159159.9497,153807,17138,608
CHD,556.07,2334.154,266.402,444.404,1470,752.283,1945.661,14,13.2164,69.991,65.361,194.9,231.403,863.837,111.666,2787.6467,1135.424,138.927,54.645
CLX,1007,3616,779,1130,3772,3724,4644,9,-1.0311,249.827,151.298,292,435,,-123,9224.6391,2510,444,127
COKE,247.142,1364.467,84.664,248.942,1224.512,41.269,1431.005,11,10.3211,12.794,9.103,67.055,104.779,93.953,-1.8,454.5805,799.426,23.243,50.286
KO,8441,29963,6597,8890,12685,32177,24088,7,7.2994,3511,2318,1641,2587,16920,-449,111843.5,7358,5080,220
CL,3301,9138,2572.4,3469.1,7615.3,7562.5,12237.7,6,2.8081,732.853,512.659,1008.4,1523.2,1410.9,-168.1,33445.8732,5027.5,1353.4,170
CBE,2193.7,5374.8,699.2,1499.3,2899.5,2196,5184.6,8,27.159,104.079,91.141,607.6,896,,694.4,8241.8806,3404.7,464,51.5
CTB,1009.124,2235.279,9.101,527.252,1525.7,974.419,2676.242,16,10.4251,86.323,61.38,351.687,414.096,639.891,481.872,877.734,2341.544,-78.511,50.06
COO,456.951,2352.601,161.483,276.63,974.092,386.711,858.96,15,30.9444,44.966,44.548,236.512,146.584,1378.509,180.321,2567.3012,269.528,66.234,33.246
TAP,1458.356,11603.413,658.499,1800.116,5739.275,1990.433,5844.985,11,66.847,87.025,87.025,319.538,828.599,5817.356,-341.76,6651.6027,3042.727,361.031,156.793
GLW,4798,13065,900,2319,5774,-5352,5174,11,4.63,1582,1565,639,746,7246,2479,29281.15,2311,1855,113
CR,880.409,2430.484,247.936,461.926,1503.848,1019.252,2256.889,11,15.1903,72.426,60.473,313.259,382.646,918.603,418.483,2215.7307,1471.348,165.887,23.015
CCK,2062,6358,576,1956,6624,-2948,6982,15,-3.3495,185.744,162.711,906,689,-545,106,3403.9141,5863,309,286
CMI,4488,7465,991,2399,4409,1483,11362,12,55.8167,55,50.2,1393,1767,2802,2089,5932.636,8474,715,100
DHR,3394.902,12864.151,1512.614,2459.556,6219.491,5613.794,9596.404,7,21.5566,341.223,308.242,1005.36,1674.97,,935.346,22329.0505,5135.831,1122.029,79.829
