tic,sale,xrd
PARR,3124.87,0
UE,343.07,0
PIRS,29.323,46.531
SUM,2332.451,0
LCI,545.744,29.978
VSTO,2225.522,22.538
ESTE,144.523,0
SHAK,522.867,0
DEA,245.078,0
INOV,667.524,33.503
SYBT,199.77,0
CC,4969,93
TRMB,3147.7,475.9
VERU,42.592,31.035
AJX,102.188,0
NVTA,279.598,240.605
FNWB,67.528,0
XHR,369.776,0
EXPO,399.9,0
GDDY,3316.7,560.4
UNIT,1067.139,0
ENR,2744.8,35.4
BHE,2053.131,0
NXRT,204.8,0
FRTA,1594.506,0
VRAY,57.017,25.008
SEDG,1459.271,163.123
NSA,432.487,0
BLBD,879.221,6.4
MTRX,1100.938,0
ESE,732.915,13.3
CABO,1325.229,0
ETSY,1725.625,180.08
BLD,2718.038,0
PJT,1034.523,0
LITE,1678.6,198.6
ETH,589.837,0
XBIT,43.997,9.527
BPMC,793.735,326.86
VIRT,3180.679,0
NRIM,140.044,0
OPRX,43.313,0
CVA,1904,0
CATY,743.394,0
CDAY,842.5,39.6
COLL,310.016,9.772
CHCT,75.85,0
HAYN,380.53,3.713
ALTA,133.171,0
PAVM,0,10.963
CYH,11789,0
DORM,1092.748,20.7
VWTR,9.612,0
PSB,416.857,0
AZO,12631.967,0
REGN,8497.1,2735
EVH,1022.433,15.1
WING,248.811,0
EXTN,613.061,0
APLE,601.879,0
X,9741,0
GKOS,224.959,85.392
GNL,330.104,0
HAE,870.463,32.857
IONS,729.264,485.277
APPF,310.056,48.529
OLLI,1808.821,0
LCUT,769.169,0
ALRM,618.003,152.147
FCFS,1631.284,0
DBI,2234.719,0
NTRA,391.005,100.035
MCRB,33.215,90.57
IDXX,2706.655,141.249
AES,9660,0
CRVL,552.644,0
HWC,1382.409,0
STFC,1482.4,0
TDOC,1093.962,164.941
AMBC,157,0
DIN,689.268,0
KALU,1172.7,9.1
ALKS,1038.756,394.588
MNST,4613.838,0
SRG,115.177,0
VRTX,6205.683,1829.537
MNRO,1125.721,0
LIND,82.356,0
PRGS,442.15,88.599
MTG,1199.146,0
TVTY,437.714,0
ZBRA,4455,453
EZPW,822.811,0
PRA,886.861,0
BOKF,2112.949,0
SPNE,154.345,16.258
BIIB,13444.6,4085.2
MSGS,603.319,0
RPD,411.486,108.568
OOMA,168.947,36.079
CHMA,1.106,26.802
NHI,329.685,0
DSKE,1454.1,0
AGLE,0,59.638
CSWI,419.205,4.5
FLOW,1350.6,21.8
PYPL,21454,1400
ODFL,4015.129,0
RHP,525.328,0
TRU,2716.6,0
HMN,1299.778,0
ATNI,455.444,0
WNC,1481.889,21.9
LILAK,3764.6,0
WRLD,524.471,0
KIM,1133.874,0
WETF,253.699,0
JBSS,880.092,0.999
PRGO,5085.8,177.7
TTEK,2994.891,0
QCOM,21731,5975
OFC,619.764,0
SPOK,148.18,15.828
GILD,24689,10895
PLNT,406.618,0
MSON,62.484,4.916
RUN,922.191,19.548
MCFT,363.073,5.2
ROP,5527.1,446.1
SNPS,3685.281,1279.022
ELY,1589.46,46.3
LFVN,232.915,0.9
VRTS,603.896,0
ICUI,1273.049,42.948
MHK,9552.197,0
LIN,27243,152
CNR,4617.369,13.7
ASUR,65.507,5.959
RNST,733.664,0
AGCO,9149.7,342.6
CASS,148.128,0
HLI,1525.452,0
BKE,901.278,0
OLED,428.867,83.894
BSX,9913,1362
KSS,15955,0
VBIV,1.061,14.859
STE,3107.519,66.326
USPH,422.969,0
PVBC,63.946,0
FC,198.456,0
BBBY,9233.028,0
CACC,1669.3,0
DHI,20336.1,0
GBT,123.803,155.122
COLB,622.309,0
GPK,6559.9,10.2
TWNK,1016.609,0
FCEL,70.871,4.797
SBUX,23518,0
STRS,61.015,0
NKSH,51.952,0
CENTA,2695.509,0
WIRE,1276.948,0
KW,450.9,0
OHI,897.567,0
ACI,69690.4,0
LTC,182.983,0
CAKE,1983.225,0
LFUS,1445.695,52.538
ASGN,3950.6,0
BLX,187.68,0
PSTG,1684.179,480.467
MTX,1594.8,19.9
SITE,2704.5,0
RDN,1438.617,0
SGRY,1860.1,0
KAI,635.028,11.298
LGND,186.419,59.392
GTLS,1177.1,9.1
SM,1126.582,0
UVE,1072.77,0
MTCH,2391.269,169.811
FCBC,143.869,0
KURA,0,60.397
CTMX,100.362,112.936
NVCR,494.366,132.01
HOME,1737.063,0
RGNX,154.567,166.294
PEN,566.241,90.049
HPE,26982,1874
ANAB,75,80.025
BRP,240.919,0
SMBK,133.039,0
ABTX,249.918,0
LAUR,1024.917,0
DLTH,638.783,0
WVE,20.077,130.944
VYGR,171.128,108.753
EQBK,179.439,0
AXSM,0,70.245
APLS,250.646,299.921
RRR,1182.445,0
SQ,9497.578,881.826
MIME,501.399,97.498
FCPT,171.114,0
AC,18.983,0
CLPR,123.688,0
TEAM,1614.173,763.188
WBT,1153.4,36.1
RMR,589.505,0
FTV,4634.4,320.7
AGR,6320,0
OCX,1.216,9.8
SCWX,561.034,105.008
NTNX,1307.682,553.978
HRI,1781.3,0
