tic,RetEarly2020,RetLate2020
AVXL,0.2162167643,0.7142848911
CTMX,-0.07701626187,-0.1460222544
WSC,-0.4521363238,1.287263664
TWNK,-0.2668497921,0.3733582389
NVCR,-0.2009017913,1.569650073
SGRY,-0.5828807847,3.44257181
AC,-0.219387664,0.1602552702
SQ,-0.1627239816,3.155022576
AXSM,-0.4308236664,0.3848377858
DLTH,-0.6191835686,1.633414466
EQBK,-0.4412049979,0.2515951604
FGBI,-0.329811872,0.2754364979
KURA,-0.2763637338,2.282412627
MIME,-0.1862617584,0.6101989321
MTCH,-0.1957122017,1.366521844
RMR,-0.4041963862,0.4904153395
VYGR,-0.3440856408,-0.2185798553
WVE,0.1690580092,-0.160085519
AGR,-0.1356533833,0.06888387031
OSG,-0.01304400186,-0.05726937122
OCX,0.08888927855,-0.02449033764
SMBK,-0.3551775627,0.2042518596
TEAM,0.140601257,0.7038454566
WKHS,-0.4046050095,9.928170869
GCP,-0.2162036735,0.3286511842
WBT,-0.6713648174,1.573099875
EDIT,-0.330293382,2.535553787
NCBS,-0.2609337863,0.2156475183
SNDX,0.2494299156,1.027347596
VRAY,-0.407583296,0.527998574
UA,-0.5797705459,0.8461521326
BATRA,-0.3423266533,0.2753853706
BATRK,-0.3547732381,0.3053515767
LSXMA,-0.3444352931,0.3883370908
LSXMK,-0.3431654155,0.4019973427
AGLE,-0.3900524784,0.6888400811
CDXC,-0.243618965,0.4723912522
GWRS,-0.2202111777,0.4417183893
RRR,-0.6388311819,1.92865611
SCWX,-0.3091232158,0.2354481826
VBIV,-0.311593973,1.894734309
NGVT,-0.5971614413,1.15141801
MSBI,-0.38928085,0.07573968655
NTLA,-0.1663255068,3.448074792
PLSE,-0.4660700363,2.332403591
RETA,-0.2939395786,-0.1435498109
GMS,-0.4191280017,0.9376985251
SITE,-0.187865106,1.154712248
TPB,-0.2601401884,1.121254414
USFD,-0.5772257198,0.8808585544
FTV,-0.2767913152,0.4945031911
HONE,-0.3148311355,0.4558558579
SELB,0.01260491263,0.2572607024
SYRS,-0.1418232424,0.8296807671
ATKR,-0.4792387269,0.9511143896
AZZ,-0.3855095178,0.713876007
GMRE,-0.2199544069,0.3531603448
TWLO,-0.08943832048,2.78254202
TRTN,-0.3435318051,0.9544758078
KDMN,-0.07505569036,-0.009546342184
VRS,-0.3743762793,0.09718256957
KNSL,0.02899353179,0.9172282189
WTRH,2.819873757,1.260160128
