,tic,RetEarly2020,RetLate2020,ggroup
334,CHMI,-0.5476356129,0.6101723495,4020
335,CXP,-0.39554397939999997,0.2047065062,6010
336,CPS,-0.6902891148,2.3758539130000003,2510
337,ESRT,-0.3506446675,0.05578076194,6010
338,MMI,-0.272482709,0.3738014235,6010
339,QTS,0.07757551834,0.09077187141000001,6010
340,RMAX,-0.4247856634,0.6926883734,6010
341,OMF,-0.5114503681,1.790973346,4020
342,VEEV,0.1116878551,0.7410630487000001,3510
343,ESNT,-0.49028683619999996,0.6607443518,4010
344,AERI,-0.4414564285,0.0007401648066,3520
345,COMM,-0.3579984947,0.4709105955,4520
346,FATE,0.1349001286,3.0941007839999997,3520
347,GLPI,-0.3400699399,0.6109732771,6010
348,MGNX,-0.4650734775,2.9278343589999998,3520
349,SRNE,-0.4556211676,2.7092410069999997,3520
350,VCYT,-0.129298755,1.013162872,3520
351,CHGG,-0.056185440579999996,1.524596654,2530
352,TCS,-0.4407576803,3.042372888,2550
353,SLB,-0.6582341909,0.6517267284,1010
354,STAY,-0.4925978757,1.0308550429999999,2530
355,TWTR,-0.2336966509,1.204804478,5020
356,ALLE,-0.25855163859999997,0.2762878829,2010
357,FRBA,-0.3700127651,0.3676612082,4010
358,HMHC,-0.6991998951999999,0.7712786568000001,2530
359,KPTI,0.002087015583,-0.19416855239999997,3520
360,LGIH,-0.36093416829999997,1.344408614,2520
361,NMIH,-0.6500907497999999,0.9509030428,4010
362,TNDM,0.07951693319,0.4868657125,3510
363,AMC,-0.5593915858,-0.3291138267,5020
364,ARMK,-0.5384045600999999,0.9489043418,2530
365,CTT,-0.36128522469999996,0.3554375127,6010
366,UUUU,-0.3821993034,2.610168582,1010
367,HLT,-0.3837768281,0.6304229725,2530
368,KIN,-0.5283022046,0.0774993821,3520
369,XNCR,-0.1311418017,0.46017385619999995,3520
370,OGS,-0.100462152,-0.06293370884999999,5510
371,ESI,-0.2842468077,1.128491428,1510
372,SC,-0.3994262417,0.6246085720000001,4020
373,CARA,-0.18001282059999998,0.1453450801,3520
374,EIGR,-0.5436243097,0.8073533548999999,3520
375,DRNA,-0.1661365066,0.19923802289999998,3520
376,GLYC,-0.5689983366,0.649120821,3520
377,ITCI,-0.5520258527,1.068967858,3520
378,TACO,-0.5660978585,1.641400583,2530
379,MBUU,-0.2969473459,1.168810412,2520
380,RARE,0.04027140152,2.115684877,3520
381,CNCE,-0.04173409984,0.4298626231,3520
382,EGRX,-0.23435340699999999,0.012391191909999998,3520
383,FLXN,-0.6198063414,0.4663270063,3520
384,INGN,-0.2439635829,-0.1351140086,3510
385,RVNC,-0.08810890936,0.9148640252,3520
386,VRNS,-0.1806720329,1.569659836,4510
387,IBP,-0.42108289950000005,1.556556124,2520
388,KN,-0.36737569700000006,0.37743092429999997,4520
389,LADR,-0.7184032379,1.218073787,4020
390,GCI,-0.7680250095000001,1.2702713840000002,5020
391,ATEN,-0.09607029094000001,0.5877614193999999,4510
392,BRG,-0.5242742066,1.4005781290000001,6010
393,OUT,-0.4832212831,0.4510384546,6010
394,QUOT,-0.34077055479999996,0.4492306583,2550
395,QTWO,-0.2715833032,1.142396775,4510
396,TNET,-0.3347467656,1.140201325,2020
397,APOG,-0.3556104255,0.5609188932,2010
398,AKBA,0.19936722920000002,-0.6306072638,3520
399,NLTX,-0.07629795771,0.23901669239999998,3520
400,CVX,-0.3904117493,0.2177881541,1010
401,BLBD,-0.5231237699,0.6706289537,2010
402,LE,-0.6821432720999999,3.0393267319999997,2550
403,PCTY,-0.26899525609999997,1.331410976,4510
404,REPH,-0.5542826325,-0.6511624863000001,3520
405,TWOU,-0.1154644051,0.8854847751999999,2530
406,ALLY,-0.5250134441,1.5414884219999998,4020
407,CIO,-0.45594141509999997,0.42827586729999995,6010
408,FPI,-0.09734536556,0.46293824200000006,6010
409,MC,-0.08496741864,0.7795391051999999,4020
410,PAYC,-0.23700775370000002,1.2387497029999999,4510
411,AAPL,-0.1315975985,1.099543242,4520
412,FIVN,0.1659040811,1.2809295840000001,4510
413,NAVI,-0.43421036820000003,0.3720864606,4020
414,PAHC,-0.021747667819999997,-0.18212503260000001,3520
415,PFIS,-0.20425535179999998,-0.04668515235,4010
416,SABR,-0.7295007218,1.026980809,4510
417,SPWH,-0.2328762575,1.849027056,2550
418,ARES,-0.1221628607,0.5648990761,4020
419,HRTG,-0.18716944359999999,-0.0385251956,4030
420,DNOW,-0.5409257713000001,0.3914712164,2010
421,ZEN,-0.1646872339,1.235902238,4510
422,LPG,-0.4373389048,0.3995394788,1010
423,AGRX,-0.2560000822,0.5430120717,3520
424,BWFG,-0.4682713951,0.3149700328,4010
425,CTRE,-0.2709642987,0.560274511,6010
426,FMBH,-0.3265249788,0.45979290359999997,4010
427,QTNT,-0.5846476127,0.3189853519,3510
428,SFBS,-0.21722469379999998,0.3948619162,4010
429,TBPH,-0.1073769941,-0.23106996359999998,3520
430,TRUE,-0.4905264717,0.7355383965000001,5020
431,RYAM,-0.7239583293999999,5.150940713,1510
432,TMST,-0.5890582758,0.44582235670000003,1510
433,AMPH,-0.2306897234,0.3551214689,3520
434,ARDX,-0.2425049745,0.1380830378,3520
435,CBAY,-0.24489851280000002,2.878372986,3520
436,GPRO,-0.39631348380000003,2.160302657,2520
437,AMAT,-0.24663218420000002,0.9026453418000001,4530
438,INFO,-0.20181578170000003,0.5072692349,2020
439,RDUS,-0.35515829090000006,0.3738456135,3520
440,ANET,-0.004178651883,0.43455739479999994,4520
441,ASPN,-0.2087626098,1.7182408969999998,1010
442,CCS,-0.46946939229999995,2.017228535,2520
443,VRTV,-0.6004064246999999,1.645041577,2010
444,TSE,-0.5065245728,1.9730796309999998,1510
445,WMS,-0.2403889524,1.85305098,2010
446,TREC,-0.16783282300000002,0.17478952420000002,1510
447,CTLT,-0.07726337364,1.003274649,3520
448,PARR,-0.6944917893000001,0.9690134140000001,1010
449,SYF,-0.5498015312,1.221581051,4020
450,TRUP,-0.3051254583,3.5989246489999998,4030
451,GLOB,-0.17133479629999998,1.476215552,4510
452,OEC,-0.6031083661,1.297587251,1510
453,ADVM,-0.15190907369999998,0.1095182499,3520
454,TKR,-0.42209259409999994,1.429828919,2010
455,CDNA,0.01205381203,2.3188258530000003,3520
456,HQY,-0.3169971542,0.37793940859999997,3510
457,ISTR,-0.46791689340000003,0.318531795,4010
458,FWONK,-0.4075924924,0.5644493437,5020
459,LOCO,-0.44187565380000005,1.142008741,2530
460,MRNS,-0.060185071429999994,0.5024611151,3520
461,TR,0.05594609451,-0.16690193650000001,3020
462,NERV,-0.1533051772,-0.6112958355,3520
463,OCUL,0.25316319989999997,3.18181495,3520
464,SAGE,-0.602160644,2.01218861,3520
465,SPKE,-0.3063094927,0.6218069971,5510
466,XENT,-0.5240962915,0.9324881665000001,3510
467,RYI,-0.5502962732,1.563912625,1510
468,LTRPA,-0.7551018485,1.411110496,5020
469,VEC,-0.1921574327,0.20067685079999997,2010
470,CFG,-0.531967567,0.9927526328,4010
471,AFMD,-0.42335771409999995,2.683544449,3520
472,BCLI,0.08411208019,-0.024784818190000002,3520
473,CDK,-0.3972735583,0.5935610929999999,4510
474,KEYS,-0.1846444495,0.5785122471,4520
475,AVNS,-0.2008900603,0.7036767734999999,3510
476,KE,-0.37777777799999995,0.4642863572,4520
477,BGSF,-0.6516437685,0.8360574989,2020
478,BOOT,-0.7096336101999999,2.353440043,2550
479,ENVA,-0.3977558538,0.7094534108,4020
480,GWB,-0.4038961926,0.03262533364,4010
481,HUBS,-0.1596853025,1.976501337,4510
482,SNR,-0.64836621,1.119508841,6010
483,W,-0.4086533131,3.225479884,2550
484,BSIG,-0.3649703593,2.023544093,4020
485,LBRDK,-0.1195229931,0.43036224729999994,5020
486,ATRA,-0.4833026178,1.306698377,3520
487,CALA,-0.2224170902,0.1058561344,3520
488,PLAY,-0.6732037434,1.295105199,2530
489,SIEN,-0.7774052386,0.9547756811,3510
490,VBTX,-0.5170381025999999,0.8868250295000001,4010
491,NVRO,-0.14939550699999998,0.7313426824,3510
492,PGRE,-0.3606324579,0.06346552515,6010
493,STOR,-0.5040279091,0.9482377293,6010
494,AXTA,-0.4319081219,0.6531570601,1510
495,ADMA,-0.28000020989999996,-0.3229158107,3520
496,CHRS,-0.09913927092000001,0.07151710658,3520
497,FFWM,-0.4086202775,0.9828810785,4010
498,FGEN,-0.1897876944,0.06734048214999999,3520
499,FRPT,0.08089304393999999,1.223112073,3020
500,MRO,-0.7562687999,1.037627793,1010
501,AROW,-0.2558202152,0.13606943189999998,4010
502,SYNH,-0.3372005298,0.7283114261,3520
503,JYNT,-0.3277574304,1.4202742130000001,3510
504,EVFM,-0.137763476,-0.5469927726,3520
505,PRAH,-0.2529014805,0.5105989107,3520
506,TBK,-0.31614939350000004,0.8673066829,4010
507,UPLD,-0.2489500235,0.7110351947,4510
508,LC,-0.3779712568,0.3452216394,4020
509,NEWR,-0.2963019631,0.4143593392,4510
510,WK,-0.2311540365,1.833902454,4510
511,CTSO,1.00779321,0.031048211569999998,3510
512,JRVR,-0.113321331,0.38286762799999996,4030
513,UE,-0.5291973071,0.5209992165999999,6010
514,BOX,-0.1632895949,0.2856126314,4510
515,SHAK,-0.36646006259999997,1.246422388,2530
516,VSTO,0.1764702639,1.6999983909999998,2520
517,FNWB,-0.3985580549,0.4527105505,4010
518,DEA,0.04930554497,-0.04997806548000001,6010
519,AJX,-0.43313979659999996,0.7393457945999999,4020
520,NVTA,-0.1525104296,2.05852347,3520
521,VMC,-0.24734051170000002,0.38391941560000004,1510
522,XHR,-0.5106434717,0.4757301925,6010
523,INOV,-0.1147724035,0.09063534312,3510
524,RCKT,-0.38708258939999995,2.931183943,3520
525,IOVA,0.08146702603999999,0.5500266165,3520
526,ATEX,0.056930609900000005,-0.1767026777,5010
527,NXRT,-0.43283404090000005,0.7188202751999999,6010
528,SUM,-0.3723846548,0.3386665627,1510
529,SEDG,-0.1389205482,2.8974091189999998,4530
530,UNIT,-0.24725913940000002,1.030256322,6010
531,BPMC,-0.2700034933,0.9177477718000001,3520
532,KALV,-0.5704661609,1.4823560009999999,3520
533,CRBP,-0.04029305952,-0.761450283,3520
534,ETSY,-0.1322799527,3.628253214,2550
535,VIRT,0.3186764806,0.2454242756,4020
536,VKTX,-0.4164589059,0.2029907012,3520
537,XBIT,-0.4310205605,0.4736335943,3520
538,GDDY,-0.1591578352,0.4524583826,4510
539,ASB,-0.4135211914,0.38435732759999996,4010
540,NSA,-0.1097553751,0.2561281365,6010
541,IGT,-0.5891787506,1.8470567880000002,2530
542,APLE,-0.42134623920000003,0.407850365,6010
543,CHCT,-0.09903080627000001,0.2679454213,6010
544,COLL,-0.20651125739999998,0.226576602,3520
545,CABO,0.10607687210000001,0.3602268465,5020
546,BLD,-0.3050056259,1.5695123930000001,2520
